\TeX ing with \textbf{Matplotlib} ::\textbf{Test mix},$y = sinx$,whos_plot,$Exp.\;\alpha$,$Exp.\;\beta$,$Exp.\;\gamma$,\TeX ing with \textbf{Matplotlib} ::\textbf{Test axis scale},$y = e^x$,$y = x^2$,$y = x^{0.5}$,\TeX ing with \textbf{Matplotlib} ::\textbf{Test label format},$y = x$,$y = 2x$,whos_plot,$y = 3x$,whos_plot,$y = 4x$,$y = 5x$,\TeX ing with \textbf{Matplotlib} ::\textbf{Test line style},dashed,dashdot,dotted,solid with marker x,dashed with marker plus,dashdot with marker star
0,1.00E-05,0,0.0991,-0.0489,0.0054994,1.00E-10,1,1.00E-10,1.00E-10,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6
0.1,0.099833417,0.2,0.212,0.131,0.243026392,0.1,1.105170918,0.01,0.316227766,1000,1000,2000,3000,9000,1500,6000,7500,1,1,2,3,4,5,6
0.2,0.198669331,0.4,0.395,0.304,0.416530602,0.2,1.221402758,0.04,0.447213595,2000,2000,4000,6000,18000,3000,12000,15000,2,1,2,3,4,5,6
0.3,0.295520207,0.6,0.601,0.49,0.610631517,0.3,1.349858808,0.09,0.547722558,3000,3000,6000,9000,27000,4500,18000,22500,3,1,2,3,4,5,6
0.4,0.389418342,0.8,0.757,0.71,0.747075802,0.4,1.491824698,0.16,0.632455532,4000,4000,8000,12000,36000,6000,24000,30000,4,1,2,3,4,5,6
0.5,0.479425539,1,0.848,0.812,0.84543558,0.5,1.648721271,0.25,0.707106781,5000,5000,10000,15000,45000,7500,30000,37500,5,1,2,3,4,5,6
0.6,0.564642473,1.2,0.998,0.902,0.950489031,0.6,1.8221188,0.36,0.774596669,6000,6000,12000,18000,54000,9000,36000,45000,6,1,2,3,4,5,6
0.7,0.644217687,1.4,1.05,0.974,1.015470741,0.7,2.013752707,0.49,0.836660027,7000,7000,14000,21000,63000,10500,42000,52500,7,1,2,3,4,5,6
0.8,0.717356091,1.6,1.1,0.94,1.04404916,0.8,2.225540928,0.64,0.894427191,8000,8000,16000,24000,72000,12000,48000,60000,8,1,2,3,4,5,6
0.9,0.78332691,1.8,1.01,0.933,0.992730054,0.9,2.459603111,0.81,0.948683298,9000,9000,18000,27000,81000,13500,54000,67500,9,1,2,3,4,5,6
1,0.841470985,2,0.96,0.829,0.921286435,1,2.718281828,1,1,10000,10000,20000,30000,90000,15000,60000,75000,10,1,2,3,4,5,6
1.1,0.89120736,2.2,0.905,0.801,0.846445353,1.1,3.004166024,1.21,1.048808848,11000,11000,22000,,,16500,66000,82500,11,1,2,3,4,5,6
1.2,0.932039086,2.4,0.742,0.667,0.679491553,1.2,3.320116923,1.44,1.095445115,12000,12000,24000,,,18000,72000,90000,12,1,2,3,4,5,6
1.3,0.963558185,2.6,0.606,0.428,0.56148283,1.3,3.669296668,1.69,1.140175425,13000,13000,26000,,,19500,78000,97500,13,1,2,3,4,5,6
1.4,0.98544973,2.8,0.382,0.287,0.339255592,1.4,4.055199967,1.96,1.183215957,14000,14000,28000,,,21000,84000,105000,14,1,2,3,4,5,6
1.5,0.997494987,3,0.184,0.115,0.165802527,1.5,4.48168907,2.25,1.224744871,15000,15000,30000,,,22500,90000,112500,15,1,2,3,4,5,6
1.6,0.999573603,,,,,1.6,4.953032424,2.56,1.264911064,16000,16000,32000,,,24000,96000,120000,16,1,2,3,4,5,6
1.7,0.99166481,,,,,1.7,5.473947392,2.89,1.303840481,17000,17000,34000,,,25500,102000,127500,17,1,2,3,4,5,6
1.8,0.973847631,,,,,1.8,6.049647464,3.24,1.341640786,18000,18000,36000,,,27000,108000,135000,18,1,2,3,4,5,6
1.9,0.946300088,,,,,1.9,6.685894442,3.61,1.378404875,19000,19000,38000,,,28500,114000,142500,19,1,2,3,4,5,6
2,0.909297427,,,,,2,7.389056099,4,1.414213562,20000,20000,40000,,,30000,120000,150000,20,1,2,3,4,5,6
2.1,0.863209367,,,,,2.1,8.166169913,4.41,1.449137675,21000,21000,42000,,,,,,21,1,2,3,4,5,6
2.2,0.808496404,,,,,2.2,9.025013499,4.84,1.483239697,22000,22000,44000,,,,,,22,1,2,3,4,5,6
2.3,0.745705212,,,,,2.3,9.974182455,5.29,1.516575089,23000,23000,46000,,,,,,23,1,2,3,4,5,6
2.4,0.675463181,,,,,2.4,11.02317638,5.76,1.549193338,24000,24000,48000,,,,,,24,1,2,3,4,5,6
2.5,0.598472144,,,,,2.5,12.18249396,6.25,1.58113883,25000,25000,50000,,,,,,25,1,2,3,4,5,6
2.6,0.515501372,,,,,2.6,13.46373804,6.76,1.61245155,26000,26000,52000,,,,,,26,1,2,3,4,5,6
2.7,0.42737988,,,,,2.7,14.87973172,7.29,1.643167673,27000,27000,54000,,,,,,27,1,2,3,4,5,6
2.8,0.33498815,,,,,2.8,16.44464677,7.84,1.673320053,28000,28000,56000,,,,,,28,1,2,3,4,5,6
2.9,0.239249329,,,,,2.9,18.17414537,8.41,1.702938637,29000,29000,58000,,,,,,29,1,2,3,4,5,6
3,0.141120008,,,,,3,20.08553692,9,1.732050808,30000,30000,60000,,,,,,30,1,2,3,4,5,6
